"","id","source","tmc","severity","start_time","end_time","distance_mi","description","number","street","side","city","county","state","country","timezone","airport_code","weather_timestamp","temperature_f","wind_chill_f","humidity_percent","pressure_in","visibility_mi","wind_direction","wind_speed_mph","precipitation_in","weather_condition","amenity","bump","crossing","give_way","junction","no_exit","railway","roundabout","station","stop","traffic_calming","traffic_signal","turning_loop","sunrise_sunset","civil_twilight","nautical_twilight","astronomical_twilight"
"1","A-3003984","Bing",NA,2,2020-02-17 17:17:00,2020-02-17 17:50:08,0,"At CR-53/Exit 47 - Accident.",NA,"I-90 E","R","Worthington","Nobles","MN","US","US/Central","KOTG",2020-02-17 17:11:00,23,5,93,28.22,1,"NNW",30,0,"N/A Precipitation",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"2","A-2863162","Bing",NA,2,2020-03-20 15:24:09,2020-03-20 16:29:07,0,"At Woodlawn Opas - Accident.",NA,"Crittenden Dr","R","Louisville","Jefferson","KY","US","US/Eastern","KSDF",2020-03-20 14:56:00,74,74,48,29.5,10,"W",14,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"3","A-1802291","MapQuest",201,3,2018-06-01 13:44:16,2018-06-01 14:14:05,0,"Accident on I-85 Southbound at Exit 90 SC-105 Hyatt St.",NA,"I-85 N","R","Gaffney","Cherokee","SC","US","US/Eastern","KEHO",2018-06-01 13:40:00,83.5,NA,58,29.92,10,"SSE",5.8,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"4","A-3162638","Bing",NA,3,2019-03-09 10:53:46,2019-03-09 11:23:41,0.671,"Between Peninsula Blvd/Exit 19 and Baldwin Rd/Grand Ave/Exit 20 - Accident. Left lane blocked. Center lane blocked.",NA,"Southern State Pkwy E","R","Rockville Centre","Nassau","NY","US","US/Eastern","KJFK",2019-03-09 10:51:00,43,38.2,42,30.33,10,"NE",8.1,NA,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"5","A-2021537","MapQuest",201,3,2018-03-19 05:54:01,2018-03-19 06:38:28,0,"Restrictions due to accident on I-15 Southbound before Exits 123 124 / I-215 / Cajon Blvd.",NA,"Barstow Fwy S","R","San Bernardino","San Bernardino","CA","US","US/Pacific","KSBD",2018-03-19 05:40:00,46.4,NA,76,30.07,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"6","A-2396657","MapQuest",201,2,2017-09-25 07:32:07,2017-09-25 08:01:59,0,"Accident on 8th St at Franklin St.",101,"N 8th St","R","Richmond","Richmond City","VA","US","US/Eastern","KRIC",2017-09-25 07:54:00,68,NA,90,30.05,10,"NNE",4.6,NA,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"7","A-2330736","MapQuest",201,2,2017-10-24 04:53:43,2017-10-24 05:38:27,0,"Accident on Springdale Rd at Red River Rd.",1099,"Springdale Rd","L","Rock Hill","York","SC","US","US/Eastern","KUZA",2017-10-24 04:54:00,51.1,NA,100,29.82,8,"SSW",3.5,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"8","A-2454020","MapQuest",201,2,2017-08-18 02:56:07,2017-08-18 03:25:53,0,"Accident on Fern Pl at Golf Course Dr.",398,"Golf Course Dr","R","Rohnert Park","Sonoma","CA","US","US/Pacific","KO69",2017-08-18 02:55:00,55.4,NA,100,29.99,7,"NW",6.9,NA,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"9","A-476155","MapQuest",201,3,2017-06-12 05:56:40,2017-06-12 06:26:26,0,"Accident on I-495 Long Island Expy Eastbound at Exit 22A-E Grand Central Pkwy.",NA,"Grand Central Pkwy W","R","Corona","Queens","NY","US","US/Eastern","KLGA",2017-06-12 05:51:00,78.1,NA,54,30.02,10,"WNW",9.2,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"10","A-916875","MapQuest",201,2,2019-11-29 17:39:52,2019-11-29 19:29:03,0,"Accident on Tram Rd at Jamil Rd.",350,"Jamil Rd","L","Columbia","Lexington","SC","US","US/Eastern","KCAE",2019-11-29 17:56:00,54,54,51,29.91,10,"WNW",5,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Day","Day","Day"
