id,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2283743,2,2019-02-19T08:02:58Z,2019-02-19T08:32:22Z,33.729698,-84.392586,33.729698,-84.392586,0,Right hand shoulder blocked due to accident on I-75 Northbound before Abernathy Blvd.,NA,Pryor St SW,R,Atlanta,Fulton,GA,30315,US,US/Eastern,KATL,2019-02-19 7:52,46,39.9,63,30.43,10,NNE,13.8,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1567861,2,2017-02-13T20:51:52Z,2017-02-13T21:21:39Z,43.194069,-83.727097,NA,NA,0.01,Accident on M-54 Saginaw Rd near Tuscola Rd.,13099,Tuscola St,L,Clio,Genesee,MI,48420,US,US/Eastern,KFNT,2017-02-13 20:53,32,25.6,61,30.04,10,SSW,6.9,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-423709,2,2020-05-22T18:20:00Z,2020-05-22T19:11:35Z,34.000071,-118.409001,34.000071,-118.409001,0,At Braddock Dr/Exit 51 - Accident.,NA,I-405 S,R,Culver City,Los Angeles,CA,90230,US,US/Pacific,KSMO,2020-05-22 17:51,65,65,73,29.67,10,SW,8,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-864136,2,2020-03-03T07:47:18Z,2020-03-03T09:17:12Z,32.675549,-96.757278,32.675549,-96.757278,0,Accident on Simpson Stuart Rd at Flagstaff Dr.,NA,Flagstaff Dr,R,Dallas,Dallas,TX,75241,US,US/Central,KRBD,2020-03-03 7:53,60,60,69,29.07,10,S,8,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2792470,2,2020-01-22T08:05:34Z,2020-01-22T12:05:34Z,42.87905,-121.83106,42.87905,-121.83106,0,At Silver Lake Rd/W Boundary Rd - Accident.,45274,Highway 97 N,R,Chiloquin,Klamath,OR,97624,US,US/Pacific,KLMT,2020-01-22 8:07,31,31,89,25.94,4,CALM,0,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-975683,3,2019-08-04T20:24:42Z,2019-08-04T21:58:19Z,30.502701,-87.229202,NA,NA,1.279999971,Entry ramp to I-10 at Exit 6 from I-110 Northbound lane blocked due to accident.,NA,I-110 N,R,Pensacola,Escambia,FL,32504,US,US/Central,KPNS,2019-08-04 20:53,82,82,82,29.83,10,SW,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-2428335,2,2017-02-09T09:28:39Z,2017-02-09T09:58:22Z,42.390995,-71.086945,NA,NA,0.01,Accident on Blakeley Ave at MA-28 McGrath Hwy.,800,McGrath Hwy,L,Somerville,Middlesex,MA,2145,US,US/Eastern,KBOS,2017-02-09 9:27,32,18.1,92,29.61,0.8,NE,27.6,0.03,Light Snow,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-349506,2,2020-10-17T18:31:00Z,2020-10-17T19:50:19Z,25.602232,-80.377467,25.621122,-80.378627,1.307,Incident on FLORIDA'S TPKE NB near EXIT 16 Left lane blocked.,NA,Florida's Tpke N,R,Miami,Miami-Dade,FL,33157,US,US/Eastern,KTMB,2020-10-17 18:53,82,82,76,29.99,10,NE,15,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2069724,3,2017-10-27T15:23:04Z,2017-10-27T21:23:04Z,34.298011,-117.458653,34.29934,-117.45705,0.13,At I-15/NF-2n47 - Accident.,NA,N Cajon Blvd,R,San Bernardino,San Bernardino,CA,92407,US,US/Pacific,KSBD,2017-10-27 15:50,93.2,NA,12,29.87,5,SW,10.4,NA,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1830207,3,2020-05-29T15:19:29Z,2020-05-29T16:49:11Z,42.683712,-73.845604,42.683712,-73.845604,0,Right and center lane blocked due to accident on I-87 Southbound at exit 23.,NA,I-87 S,R,Albany,Albany,NY,12203,US,US/Eastern,KALB,2020-05-29 15:15,79,79,77,29.51,3,SSE,20,0.15,Light Rain with Thunder,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-830711,2,2017-08-22T19:44:52Z,2017-08-22T20:29:41Z,36.120708,-86.807961,36.120708,-86.807961,0,Accident on US-431 Hillsboro Pike at Lombardy Ave.,NA,Sharondale Dr,R,Nashville,Davidson,TN,37215,US,US/Central,KBNA,2017-08-22 19:37,75,NA,90,29.96,2,NW,3.5,0.3,Thunderstorms and Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Day,Day,Day
A-218915,2,2018-12-12T09:17:03Z,2018-12-12T10:16:37Z,34.571541,-81.4888,34.571541,-81.4888,0,Accident on SC-72 at Elmira Rd.,2495,Carlisle Whitmire Hwy,L,Carlisle,Union,SC,29031-9473,US,US/Eastern,KDCM,2018-12-12 9:15,33.8,NA,100,30.23,10,Calm,NA,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
